Seasons,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,IBB,HBP,SH,SF,GIDP
9,331,4,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,1.0,0.0,0.0
23,3298,12364,2174,3771,624,98,755,2297.0,240.0,1402,1383.0,293.0,32.0,21.0,121.0,328.0
7,437,944,102,216,42,6,13,94.0,9.0,86,145.0,3.0,0.0,9.0,6.0,36.0
13,448,5,0,0,0,0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0
3,15,21,1,2,0,0,0,0.0,0.0,4,5.0,0.0,0.0,0.0,0.0,1.0
12,400,9,0,1,0,0,0,0.0,0.0,0,5.0,0.0,0.0,0.0,0.0,1.0
3,12,49,4,11,0,0,0,5.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0
11,855,3044,355,772,99,43,11,324.0,142.0,289,283.0,0.0,33.0,93.0,0.0,0.0
7,79,225,21,38,3,3,0,17.0,3.0,21,54.0,0.0,0.0,6.0,0.0,0.0
5,452,1756,307,493,67,46,19,280.0,93.0,167,122.0,0.0,23.0,19.0,0.0,0.0
1,8,3,0,1,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
1,3,7,0,1,0,1,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,160,513,48,107,21,6,1,49.0,14.0,19,75.0,0.0,8.0,20.0,0.0,0.0
13,248,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,233,596,82,157,33,2,18,83.0,6.0,38,91.0,2.0,3.0,5.0,7.0,12.0
12,263,21,0,2,0,0,0,3.0,0.0,0,10.0,0.0,0.0,3.0,0.0,0.0
11,702,2044,273,523,109,23,62,242.0,22.0,133,571.0,11.0,17.0,21.0,12.0,37.0
4,57,31,2,3,1,0,0,2.0,0.0,1,19.0,0.0,0.0,6.0,0.0,0.0
1,22,70,2,13,2,1,0,6.0,3.0,6,20.0,0.0,0.0,6.0,0.0,0.0
13,162,20,2,5,1,0,0,2.0,0.0,0,6.0,0.0,0.0,5.0,0.0,0.0
10,168,100,5,14,0,0,0,6.0,0.0,8,41.0,0.0,0.0,8.0,1.0,2.0
1,1,4,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,180,386,65,86,20,2,9,34.0,18.0,21,123.0,2.0,7.0,5.0,2.0,3.0
1,1,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
6,232,868,97,212,36,5,8,79.0,21.0,60,93.0,1.0,7.0,16.0,4.0,15.0
3,7,5,0,1,0,0,0,0.0,0.0,1,3.0,0.0,0.0,0.0,0.0,0.0
21,681,181,12,25,3,0,0,9.0,0.0,6,74.0,0.0,2.0,15.0,0.0,4.0
2,16,8,0,0,0,0,0,0.0,0.0,0,4.0,0.0,0.0,0.0,0.0,0.0
3,63,179,25,45,7,3,5,26.0,0.0,25,44.0,0.0,0.0,0.0,0.0,6.0
3,14,26,0,0,0,0,0,0.0,1.0,0,11.0,0.0,0.0,0.0,0.0,0.0
8,392,840,89,191,39,4,11,71.0,6.0,43,153.0,10.0,7.0,5.0,7.0,14.0
12,567,1611,257,433,64,19,32,138.0,12.0,304,290.0,2.0,7.0,16.0,4.0,22.0
1,3,1,0,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,9,0,0,0,0,0,1.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0
2,30,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
22,2425,8480,1453,2470,574,59,288,1363.0,400.0,1476,1840.0,115.0,33.0,7.0,85.0,165.0
3,42,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,28,4,6,1,0,1,3.0,0.0,4,4.0,0.0,0.0,0.0,0.0,1.0
8,1113,4353,612,1262,263,16,228,788.0,11.0,324,978.0,54.0,105.0,0.0,45.0,148.0
1,7,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
6,224,579,61,147,39,6,6,60.0,2.0,22,116.0,2.0,5.0,1.0,8.0,20.0
5,38,2,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
