playerID,Seasons,Wins,Losses,Games,Pitch_Starts,Complete_Games,Shutouts,Saves,Outs_Pitched,Hits,Earned_Runs,Home_Runs,Walks,Strikeouts,Batters_Faced,Games_Finished,Runs_Allowed
aardsda01,9,16,18,331,0,0,0,69,1011,296,160,41,183,340,1475.0,141,169
aasedo01,13,66,60,448,91,22,5,82,3328,1085,468,89,457,641,4730.0,235,503
abadfe01,12,8,29,400,6,0,0,2,1045,332,146,43,123,290,1481.0,101,155
abbeybe01,7,22,40,79,65,52,0,1,1704,686,285,18,192,161,2568.0,14,442
abbeych01,1,0,0,1,0,0,0,0,6,6,1,0,0,0,12.0,1,3
abbotco01,1,0,0,7,1,0,0,0,52,20,13,7,11,12,82.0,2,15
abbotda01,1,0,2,3,1,1,0,1,39,19,9,0,8,1,67.0,2,14
abbotgl01,13,62,83,248,206,37,5,0,3858,1405,627,162,352,484,5508.0,13,707
abbotji01,12,87,108,263,254,31,6,0,5022,1779,791,154,620,888,7211.0,5,880
abbotky01,4,4,17,57,22,0,0,0,556,207,107,26,79,124,815.0,4,112
abbotpa01,13,43,37,162,112,1,0,0,2162,682,394,101,393,496,3187.0,17,421
aberal01,10,24,25,168,30,7,0,14,1168,398,181,29,160,169,1698.0,76,205
abernbi01,1,0,0,1,0,0,0,1,6,4,3,1,1,0,10.0,1,3
abernte01,3,0,3,7,2,1,0,0,61,31,25,0,17,13,107.0,3,26
abernte02,21,63,69,681,34,7,2,148,3443,1010,441,70,592,765,4963.0,416,513
abernwo01,2,1,1,16,1,0,0,1,126,36,17,5,11,6,164.0,6,19
ablesha01,3,1,5,14,8,4,0,0,214,79,32,1,30,41,317.0,6,51
abramge01,1,0,0,3,0,0,0,0,14,10,5,0,3,1,24.0,1,5
abregjo01,1,1,1,6,5,0,0,0,72,32,17,3,12,13,109.0,0,18
abreual01,2,2,1,30,0,0,0,1,114,31,24,9,21,37,167.0,15,25
abreubr01,3,3,3,42,0,0,0,1,144,40,25,4,28,52,213.0,6,29
abreuju01,1,0,0,7,0,0,0,0,20,6,2,1,3,12,34.0,2,2
abreuwi01,5,0,1,38,0,0,0,0,133,57,36,10,19,38,207.0,6,39
accarje01,12,10,20,262,0,0,0,38,854,288,136,24,111,205,1222.0,115,143
aceveal01,7,31,16,204,15,0,0,29,1141,333,162,48,129,282,1599.0,91,172
acevedo01,1,0,0,10,0,0,0,0,33,9,4,3,4,9,44.0,7,4
acevejo01,5,18,25,104,59,1,0,1,1105,420,235,71,113,253,1628.0,11,246
aceveju01,12,28,40,367,34,0,0,53,1710,597,274,72,226,350,2488.0,165,316
achteaj01,3,2,1,45,0,0,0,0,186,69,27,13,21,33,267.0,22,30
ackerji01,14,33,49,467,32,0,0,30,2713,918,399,82,329,482,3868.0,159,447
ackerto01,4,19,13,153,23,5,1,8,1141,365,174,43,150,256,1629.0,35,181
acklefr01,2,1,0,5,4,0,0,0,58,17,9,4,11,17,84.0,1,10
acostcy01,4,13,9,107,0,0,0,27,558,143,55,15,77,109,768.0,74,65
acosted01,3,6,9,57,8,3,1,1,413,153,62,12,39,70,594.0,22,71
acostjo01,3,10,10,55,13,6,1,4,640,265,107,9,68,45,939.0,28,119
acostma01,6,13,13,233,0,0,0,9,744,234,110,30,117,219,1070.0,78,122
acrema01,4,9,6,114,0,0,0,2,381,135,73,16,68,98,582.0,32,75
adamja01,4,6,4,79,0,0,0,0,235,64,41,13,39,95,341.0,25,44
adamsac01,6,41,33,302,7,2,0,49,1658,541,213,26,224,171,2379.0,218,247
adamsau01,6,2,0,68,0,0,0,1,226,91,54,12,34,58,347.0,30,57
adamsau02,7,5,4,106,2,0,0,0,284,56,42,6,64,146,424.0,25,48
adamsba01,19,194,140,482,355,206,44,15,8986,2841,917,68,430,1036,11947.0,89,1129
adamsbo01,1,0,0,2,0,0,0,0,17,10,5,1,3,1,28.0,2,5
adamsbo02,2,0,1,5,1,0,0,0,36,21,7,0,3,5,60.0,3,11
adamsch01,3,1,2,22,1,0,0,1,125,62,39,11,15,33,198.0,7,41
adamsda01,2,4,11,47,16,6,0,3,513,182,71,5,65,54,576.0,24,87
adamsjo01,1,0,0,1,0,0,0,0,12,9,4,0,2,0,23.0,1,6
adamsjo02,3,5,6,44,11,0,0,0,331,121,60,19,37,77,484.0,4,66
adamska01,2,1,9,30,12,3,0,0,345,119,64,5,48,62,503.0,14,72
adamsmi01,3,0,4,11,4,0,0,0,76,28,21,3,22,14,122.0,2,22
adamsmi03,12,21,20,408,0,0,0,4,1222,316,109,33,126,409,1653.0,60,122
adamsre01,1,0,1,8,0,0,0,0,36,18,11,1,7,8,59.0,4,12
adamsri01,1,2,5,11,6,3,1,0,188,63,25,1,24,25,271.0,5,30
adamste01,13,51,62,574,41,0,0,42,2608,890,403,63,380,691,3801.0,201,448
adamswi01,5,8,16,65,21,8,0,2,853,303,138,8,144,74,1238.0,30,172
adamswi02,2,6,9,25,24,1,1,0,404,149,87,20,55,105,611.0,0,92
adcocna01,4,2,6,56,5,0,0,1,369,126,57,14,56,80,541.0,14,64
adenhni01,2,1,0,4,4,0,0,0,54,25,12,0,16,9,90.0,0,12
adkinde01,3,2,4,38,6,1,0,0,297,114,62,10,50,47,451.0,19,69
adkindo01,2,1,1,6,3,1,0,1,81,40,15,2,12,3,130.0,3,28
adkingr01,2,12,27,67,42,19,0,1,1089,403,175,24,156,78,1626.0,18,211
adkinjo01,6,5,5,119,0,0,0,0,416,155,70,18,54,81,605.0,40,75
adkinst01,1,1,2,5,5,0,0,0,72,19,17,4,29,14,115.0,0,18
adlemti01,2,9,15,43,33,0,0,0,576,188,106,42,71,155,818.0,4,111
