playerID,nameFirst,nameLast,weight,height,bats_L,bats_R,throws_L,throws_R,Seasons,Wins,Losses,Games,Pitch_Starts,Complete_Games,Shutouts,Saves,Outs_Pitched,Hits,Earned_Runs,Home_Runs,Walks,Strikeouts,Batters_Faced,Games_Finished,Runs_Allowed,finalGame,Retired_Years,inducted,yearID,Total_Games,Games_Started,Primary_Position,Hall_Eligible
aardsda01,David,Aardsma,215.0,75.0,0,1,0,1,9,16,18,331,0,0,0,69,1011,296,160,41,183,340,1475.0,141,169,2015-08-23,6.720547945205479,N,0.0,331,0.0,Pitcher,not_eligible
aasedo01,Don,Aase,190.0,75.0,0,1,0,1,13,66,60,448,91,22,5,82,3328,1085,468,89,457,641,4730.0,235,503,1990-10-03,31.624657534246577,N,0.0,448,91.0,Pitcher,eligible
abadfe01,Fernando,Abad,235.0,74.0,1,0,1,0,12,8,29,400,6,0,0,2,1045,332,146,43,123,290,1481.0,101,155,2021-10-01,0.6082191780821918,N,0.0,400,6.0,Pitcher,not_eligible
abbeybe01,Bert,Abbey,175.0,71.0,0,1,0,1,7,22,40,79,65,52,0,1,1704,686,285,18,192,161,2568.0,14,442,1896-09-23,125.71232876712328,N,0.0,79,0.0,Pitcher,not_eligible
abbotco01,Cory,Abbott,210.0,73.0,0,1,0,1,1,0,0,7,1,0,0,0,52,20,13,7,11,12,82.0,2,15,2021-10-02,0.6054794520547945,N,0.0,8,1.0,Pitcher,not_eligible
abbotda01,Dan,Abbott,190.0,71.0,0,1,0,1,1,0,2,3,1,1,0,1,39,19,9,0,8,1,67.0,2,14,1890-05-23,132.05479452054794,N,0.0,3,0.0,Pitcher,not_eligible
abbotgl01,Glenn,Abbott,200.0,78.0,0,1,0,1,13,62,83,248,206,37,5,0,3858,1405,627,162,352,484,5508.0,13,707,1984-08-08,37.78082191780822,N,0.0,248,204.0,Pitcher,eligible
abbotji01,Jim,Abbott,200.0,75.0,1,0,1,0,12,87,108,263,254,31,6,0,5022,1779,791,154,620,888,7211.0,5,880,1999-07-21,22.82191780821918,N,2005.0,263,254.0,Pitcher,eligible
abbotky01,Kyle,Abbott,200.0,76.0,1,0,1,0,4,4,17,57,22,0,0,0,556,207,107,26,79,124,815.0,4,112,1996-08-24,25.72876712328767,N,0.0,57,22.0,Pitcher,not_eligible
abbotpa01,Paul,Abbott,185.0,75.0,0,1,0,1,13,43,37,162,112,1,0,0,2162,682,394,101,393,496,3187.0,17,421,2004-08-07,17.76986301369863,N,0.0,162,112.0,Pitcher,eligible
aberal01,Al,Aber,195.0,74.0,1,0,1,0,10,24,25,168,30,7,0,14,1168,398,181,29,160,169,1698.0,76,205,1957-09-11,64.7068493150685,N,0.0,168,30.0,Pitcher,eligible
abernbi01,Bill,Abernathie,190.0,70.0,0,1,0,1,1,0,0,1,0,0,0,1,6,4,3,1,1,0,10.0,1,3,1952-09-27,69.66575342465754,N,0.0,1,0.0,Pitcher,not_eligible
abernte01,Ted,Abernathy,210.0,74.0,0,1,1,0,3,0,3,7,2,1,0,0,61,31,25,0,17,13,107.0,3,26,1944-04-29,78.08493150684932,N,0.0,7,2.0,Pitcher,not_eligible
abernte02,Ted,Abernathy,215.0,76.0,0,1,0,1,21,63,69,681,34,7,2,148,3443,1010,441,70,592,765,4963.0,416,513,1972-09-30,49.64383561643836,N,0.0,681,34.0,Pitcher,eligible
abernwo01,Woody,Abernathy,170.0,72.0,1,0,1,0,2,1,1,16,1,0,0,1,126,36,17,5,11,6,164.0,6,19,1947-04-17,75.11780821917809,N,0.0,16,1.0,Pitcher,not_eligible
ablesha01,Harry,Ables,200.0,74.0,0,1,1,0,3,1,5,14,8,4,0,0,214,79,32,1,30,41,317.0,6,51,1911-05-05,111.0931506849315,N,0.0,14,8.0,Pitcher,not_eligible
abramge01,George,Abrams,170.0,69.0,0,1,0,1,1,0,0,3,0,0,0,0,14,10,5,0,3,1,24.0,1,5,1923-05-04,99.08767123287672,N,0.0,3,0.0,Pitcher,not_eligible
abregjo01,Johnny,Abrego,185.0,72.0,0,1,0,1,1,1,1,6,5,0,0,0,72,32,17,3,12,13,109.0,0,18,1985-10-03,36.62739726027397,N,0.0,6,5.0,Pitcher,not_eligible
abreual01,Albert,Abreu,190.0,74.0,0,1,0,1,2,2,1,30,0,0,0,1,114,31,24,9,21,37,167.0,15,25,2021-10-01,0.6082191780821918,N,0.0,30,0.0,Pitcher,not_eligible
